Symbol,Date,Open,High,Low,Close,Volume
AABS,05-Jan-2015,155.25,155.25,154.00,155.00,5100
AABS,06-Jan-2015,157.50,162.75,155.50,162.43,2200
AABS,07-Jan-2015,168.00,170.55,168.00,170.55,3800
AABS,08-Jan-2015,178.99,179.07,178.99,179.07,6300
AABS,09-Jan-2015,188.02,188.02,179.05,188.02,5100
AABS,12-Jan-2015,197.42,197.42,197.42,197.42,6200
AABS,13-Jan-2015,207.29,207.29,207.29,207.29,8300
AABS,14-Jan-2015,217.65,217.65,205.90,206.04,6400
AABS,15-Jan-2015,197.00,202.85,195.74,197.48,17700
AABS,16-Jan-2015,198.89,207.00,198.00,200.91,5000
AABS,19-Jan-2015,210.70,210.70,192.00,198.50,6600
AABS,20-Jan-2015,191.02,200.00,189.00,200.00,4600
AABS,21-Jan-2015,200.99,201.00,200.50,200.75,1200
AABS,22-Jan-2015,192.01,192.01,181.22,181.23,1500
AABS,23-Jan-2015,181.00,190.00,181.00,190.00,600
AABS,26-Jan-2015,181.00,184.00,180.50,180.50,700
AABS,28-Jan-2015,175.00,189.52,171.48,185.06,5600
AABS,29-Jan-2015,185.00,185.00,176.01,177.00,700
AABS,30-Jan-2015,185.85,185.85,185.85,185.85,7200
AABS,02-Feb-2015,185.00,188.98,182.00,188.86,1500
AABS,03-Feb-2015,195.14,195.14,188.00,190.00,1200
AABS,04-Feb-2015,195.00,195.50,180.50,181.38,4100
AABS,06-Feb-2015,180.00,182.00,176.01,180.50,1575500
AABS,09-Feb-2015,180.50,180.50,180.50,180.50,100
AABS,10-Feb-2015,176.00,185.50,176.00,180.75,200
AABS,11-Feb-2015,181.00,181.00,181.00,181.00,200
AABS,12-Feb-2015,176.00,176.50,176.00,176.10,900
AABS,16-Feb-2015,176.10,176.10,176.10,176.10,100
AABS,18-Feb-2015,180.00,181.00,168.00,168.00,700
AABS,20-Feb-2015,176.40,176.40,176.40,176.40,500
AABS,23-Feb-2015,176.40,176.40,176.40,176.40,100
AABS,26-Feb-2015,175.00,180.00,175.00,177.50,200
AABS,09-Mar-2015,175.00,175.00,175.00,175.00,100
AABS,11-Mar-2015,175.00,175.00,168.00,171.50,200
AABS,12-Mar-2015,171.50,171.50,171.50,171.50,100
AABS,18-Mar-2015,163.00,163.00,163.00,163.00,200
AABS,24-Mar-2015,163.00,163.00,163.00,163.00,100
AABS,25-Mar-2015,171.00,171.00,171.00,171.00,720400
AABS,30-Mar-2015,162.45,162.45,162.45,162.45,300
AABS,31-Mar-2015,170.00,170.57,170.00,170.57,600
AABS,03-Apr-2015,162.05,162.05,162.05,162.05,500
AABS,07-Apr-2015,170.00,170.15,170.00,170.03,600
AABS,14-Apr-2015,177.00,177.00,177.00,177.00,200
AABS,21-Apr-2015,170.00,170.00,170.00,170.00,1400
AABS,28-Apr-2015,171.00,171.00,171.00,171.00,600
AABS,05-May-2015,162.45,162.45,162.45,162.45,200
AABS,28-May-2015,162.45,162.45,162.45,162.45,400
AABS,29-May-2015,160.50,160.50,160.50,160.50,200
AABS,01-Jun-2015,160.50,160.50,160.50,160.50,100
AABS,05-Jun-2015,163.00,163.00,163.00,163.00,600
AABS,08-Jun-2015,163.00,163.00,163.00,163.00,100
AABS,17-Jun-2015,163.00,163.00,163.00,163.00,100
AABS,09-Jul-2015,171.15,171.15,171.00,171.00,600
AABS,10-Jul-2015,175.00,179.55,175.00,178.78,300
AABS,14-Jul-2015,175.00,181.99,175.00,181.86,500
AABS,15-Jul-2015,175.00,175.00,175.00,175.00,500
AABS,16-Jul-2015,183.75,183.75,183.75,183.75,300
AABS,27-Jul-2015,185.00,185.00,185.00,185.00,400
AABS,30-Jul-2015,189.00,194.25,188.00,194.25,4800
