,Buy Date,Buy Price,Sell Date,Sell Price,Difference
0,14-Apr-15,177,29-May-15,160.5,-16.5
1,09-Jul-15,171,17-Aug-15,191,20
2,12-Nov-15,174.02,01-Dec-15,166.42,-7.6
3,11-Dec-15,182,15-Jan-16,194,12
4,18-Jan-16,203.7,26-Jan-16,190.82,-12.88
5,30-Mar-16,209.99,04-May-16,202,-7.99
6,11-May-16,210.58,02-Jun-16,200,-10.58
7,17-Jun-16,219.34,29-Jul-16,255,35.66
8,07-Oct-16,290,03-Nov-16,279.57,-10.43
9,14-Nov-16,313,16-Nov-16,285,-28
10,28-Dec-16,309.06,05-Jan-17,283.8,-25.26
11,27-Nov-17,160,12-Dec-17,133.05,-26.95
12,04-Jan-18,146.73,06-Mar-18,178.02,31.29
13,12-Apr-18,197.04,26-Apr-18,180,-17.04
14,30-Apr-18,189,04-May-18,185.5,-3.5
15,07-May-18,191.99,09-May-18,185,-6.99
16,11-May-18,195.81,30-May-18,190,-5.81
17,27-Jun-18,196.85,16-Jul-18,189.99,-6.86
18,30-Jul-18,199.33,20-Aug-18,189.93,-9.4
19,24-Aug-18,198.99,30-Aug-18,187.72,-11.27
20,10-Sep-18,200.85,11-Sep-18,190.81,-10.04
21,24-Sep-18,197.95,11-Oct-18,199.94,1.99
22,19-Oct-18,207.83,29-Oct-18,195.07,-12.76
23,05-Dec-18,200.92,09-Jan-19,259.89,58.97
24,04-Mar-19,193.99,25-Apr-19,186.5,-7.49
25,30-Apr-19,202.45,03-May-19,188.26,-14.19
26,21-May-19,204.4,27-May-19,186.99,-17.41
27,21-Jun-19,192.95,08-Jul-19,185.01,-7.94
28,10-Jul-19,191.9,12-Jul-19,185,-6.9
29,19-Jul-19,189.97,16-Aug-19,179,-10.97
30,13-Sep-19,194,10-Oct-19,198.5,4.5
31,28-Oct-19,208,28-Nov-19,234,26
32,16-Dec-19,246.5,20-Dec-19,240,-6.5
33,31-Dec-19,261.18,16-Jan-20,252.34,-8.84
34,02-Apr-20,200,13-May-20,228.05,28.05
35,21-May-20,239.33,11-Jun-20,242.01,2.68
36,30-Jun-20,262.59,10-Jul-20,250.01,-12.58
37,13-Jul-20,256.89,13-Aug-20,309.19,52.3
38,16-Oct-20,315,12-Nov-20,332.5,17.5
39,04-Dec-20,345,11-Dec-20,335,-10
40,17-Dec-20,349.22,24-Dec-20,332.08,-17.14
