Symbol,Date,Open,High,Low,Close,Volume
ABL,01-Jan-2015,113.25,113.90,112.51,113.55,283800
ABL,02-Jan-2015,113.00,115.00,113.00,114.03,508800
ABL,05-Jan-2015,114.15,114.50,113.60,114.01,384200
ABL,06-Jan-2015,113.80,114.75,113.50,113.67,458500
ABL,07-Jan-2015,113.55,114.29,113.10,113.60,240400
ABL,08-Jan-2015,113.99,113.99,112.85,113.05,354200
ABL,09-Jan-2015,113.00,114.00,113.00,113.19,686100
ABL,12-Jan-2015,113.90,114.80,113.40,114.22,628900
ABL,13-Jan-2015,114.14,114.70,113.75,113.90,237000
ABL,14-Jan-2015,114.00,114.15,113.50,113.73,447500
ABL,15-Jan-2015,114.00,114.40,113.51,114.04,227900
ABL,16-Jan-2015,114.00,115.00,114.00,114.80,439800
ABL,19-Jan-2015,115.05,115.90,114.51,114.83,538500
ABL,20-Jan-2015,114.70,115.00,114.00,114.90,479500
ABL,21-Jan-2015,114.89,115.35,114.70,114.98,467800
ABL,22-Jan-2015,115.02,115.97,113.00,113.71,1048700
ABL,23-Jan-2015,113.94,114.49,113.02,113.35,163300
ABL,26-Jan-2015,113.74,115.00,113.40,113.62,4740000
ABL,27-Jan-2015,113.99,114.00,113.02,113.09,601400
ABL,28-Jan-2015,113.02,114.00,113.01,113.46,128600
ABL,29-Jan-2015,113.55,114.30,113.55,113.95,108200
ABL,30-Jan-2015,114.00,114.79,113.90,114.37,648700
ABL,02-Feb-2015,114.51,115.40,113.20,113.88,636700
ABL,03-Feb-2015,114.15,114.49,113.52,113.79,223400
ABL,04-Feb-2015,113.80,114.00,113.10,113.29,153300
ABL,06-Feb-2015,113.50,113.70,112.91,113.09,157800
ABL,09-Feb-2015,113.51,113.85,111.00,112.55,653300
ABL,10-Feb-2015,112.56,113.98,109.00,109.69,1257800
ABL,11-Feb-2015,109.50,110.00,108.00,108.22,551900
ABL,12-Feb-2015,107.50,109.00,106.50,107.21,1777900
ABL,13-Feb-2015,107.99,110.45,107.99,109.87,361200
ABL,16-Feb-2015,109.20,109.50,107.00,108.01,151700
ABL,17-Feb-2015,108.00,108.60,107.00,108.05,201200
ABL,18-Feb-2015,108.00,108.92,107.25,108.17,127800
ABL,19-Feb-2015,107.50,109.00,107.50,108.84,60100
ABL,20-Feb-2015,108.05,109.88,108.05,109.00,368500
ABL,23-Feb-2015,108.30,109.55,108.30,109.29,1336500
ABL,24-Feb-2015,109.80,110.05,109.00,109.04,598800
ABL,25-Feb-2015,109.00,110.00,108.90,109.82,94000
ABL,26-Feb-2015,109.51,109.51,108.21,108.61,31500
ABL,27-Feb-2015,108.15,108.74,107.99,108.50,32900
ABL,02-Mar-2015,108.50,108.50,107.10,108.00,49400
ABL,03-Mar-2015,108.65,108.70,107.00,107.75,366800
ABL,04-Mar-2015,107.51,108.00,107.50,107.52,1055100
ABL,05-Mar-2015,107.02,107.54,107.00,107.05,14400
ABL,06-Mar-2015,107.01,108.00,106.25,106.47,1293700
ABL,09-Mar-2015,106.00,106.00,103.00,103.39,239500
ABL,10-Mar-2015,103.00,104.00,102.00,102.14,35900
ABL,11-Mar-2015,101.01,103.00,100.05,102.01,2043600
ABL,12-Mar-2015,103.40,103.50,102.50,102.86,88500
ABL,13-Mar-2015,103.49,103.85,102.10,102.95,578400
ABL,16-Mar-2015,102.55,104.00,102.01,103.61,521000
ABL,17-Mar-2015,103.27,104.25,103.01,104.00,33900
ABL,18-Mar-2015,104.89,104.89,100.01,100.31,104700
ABL,19-Mar-2015,100.05,100.05,98.00,98.97,15000
ABL,20-Mar-2015,99.00,99.70,98.00,98.10,382500
ABL,24-Mar-2015,99.29,100.00,98.50,99.58,47300
ABL,25-Mar-2015,99.50,100.00,98.05,98.09,138300
ABL,26-Mar-2015,98.10,98.10,94.01,95.84,62400
ABL,27-Mar-2015,95.00,95.50,92.00,93.40,83100
ABL,30-Mar-2015,90.00,94.85,88.73,90.11,399500
ABL,31-Mar-2015,90.00,94.61,90.00,94.61,112100
ABL,01-Apr-2015,95.00,99.34,95.00,98.00,171500
ABL,02-Apr-2015,98.49,102.90,98.49,101.97,277300
ABL,03-Apr-2015,101.50,104.50,100.63,104.00,98800
ABL,06-Apr-2015,104.21,105.00,104.00,104.06,61000
ABL,07-Apr-2015,104.00,104.00,102.50,102.61,141000
ABL,08-Apr-2015,103.00,103.00,102.10,102.27,96500
ABL,09-Apr-2015,102.25,103.00,102.15,102.99,101200
ABL,10-Apr-2015,103.00,106.50,102.50,105.62,138600
ABL,13-Apr-2015,105.00,105.00,104.00,104.17,21800
ABL,14-Apr-2015,103.05,107.89,103.05,107.12,389900
ABL,15-Apr-2015,106.81,110.00,106.81,109.70,645300
ABL,16-Apr-2015,109.90,110.99,108.00,110.47,563500
ABL,17-Apr-2015,110.50,111.98,110.50,111.48,644400
ABL,20-Apr-2015,112.00,115.00,112.00,113.25,3524600
ABL,21-Apr-2015,114.00,114.15,112.00,113.01,736400
ABL,22-Apr-2015,111.16,116.48,111.16,116.05,1703500
ABL,23-Apr-2015,116.50,117.00,113.10,114.44,1035900
ABL,24-Apr-2015,114.00,116.00,113.05,115.88,519900
ABL,27-Apr-2015,116.00,116.00,113.60,113.74,219500
ABL,28-Apr-2015,113.00,114.40,112.55,112.62,71100
ABL,29-Apr-2015,113.25,114.99,111.50,114.85,403800
ABL,30-Apr-2015,114.74,114.85,113.05,113.85,146000
ABL,04-May-2015,113.99,114.55,113.61,113.98,514400
ABL,05-May-2015,113.85,114.00,113.01,113.99,18000
ABL,06-May-2015,113.16,113.75,113.00,113.49,507600
ABL,07-May-2015,112.66,113.00,111.60,112.54,58300
ABL,08-May-2015,111.41,112.55,111.41,112.47,134600
ABL,11-May-2015,111.55,111.55,108.51,110.01,41800
ABL,12-May-2015,109.40,111.90,107.50,110.97,32800
ABL,13-May-2015,110.90,110.90,109.21,109.75,7600
ABL,14-May-2015,110.00,110.00,108.81,109.00,22100
ABL,15-May-2015,108.50,108.50,107.79,107.86,246600
ABL,18-May-2015,107.01,107.21,105.77,106.84,130800
ABL,19-May-2015,106.00,106.00,105.00,105.02,23400
ABL,20-May-2015,105.11,106.00,105.11,105.89,502300
ABL,21-May-2015,105.31,105.96,104.00,104.33,3900
ABL,22-May-2015,104.99,104.99,103.40,104.43,10800
ABL,25-May-2015,104.43,105.00,99.21,100.50,145500
ABL,26-May-2015,101.00,101.50,100.00,100.79,56300
ABL,27-May-2015,100.76,102.30,100.76,101.37,458900
ABL,28-May-2015,101.10,101.50,100.71,100.78,15900
ABL,29-May-2015,100.10,103.00,100.06,101.00,294400
ABL,01-Jun-2015,102.00,102.95,101.60,102.51,23500
ABL,02-Jun-2015,103.00,105.00,103.00,104.29,239800
ABL,03-Jun-2015,105.99,106.00,102.50,102.57,151800
ABL,04-Jun-2015,102.50,103.48,102.05,103.00,2255300
ABL,05-Jun-2015,102.55,103.30,102.01,102.52,16800
ABL,08-Jun-2015,97.45,103.02,97.40,102.86,4459200
ABL,09-Jun-2015,102.10,105.60,102.10,103.84,734100
ABL,10-Jun-2015,103.30,103.51,100.11,102.00,33200
ABL,11-Jun-2015,101.50,102.38,101.50,102.26,5700
ABL,12-Jun-2015,102.00,102.94,102.00,102.12,14000
ABL,15-Jun-2015,102.12,102.65,101.52,101.59,7100
ABL,16-Jun-2015,102.00,102.00,100.25,100.58,308700
ABL,17-Jun-2015,101.00,101.90,100.11,101.00,891800
ABL,18-Jun-2015,100.99,101.75,100.50,100.69,484500
ABL,19-Jun-2015,100.50,101.00,100.10,100.85,11200
ABL,22-Jun-2015,100.00,101.50,100.00,101.42,239000
ABL,23-Jun-2015,101.42,101.50,100.00,101.05,17000
ABL,24-Jun-2015,100.60,102.00,100.60,100.98,173200
ABL,25-Jun-2015,100.40,101.00,99.75,99.94,253000
ABL,26-Jun-2015,100.00,100.00,99.25,99.53,72600
ABL,29-Jun-2015,100.00,100.00,99.50,99.98,26300
ABL,30-Jun-2015,99.99,100.00,99.55,99.94,222100
ABL,01-Jul-2015,100.49,100.49,99.94,99.97,125100
ABL,02-Jul-2015,100.49,100.50,99.70,100.00,126200
ABL,03-Jul-2015,100.00,101.00,99.65,100.00,165300
ABL,06-Jul-2015,100.00,100.00,99.10,99.95,15700
ABL,07-Jul-2015,99.02,100.99,99.02,99.94,226000
ABL,08-Jul-2015,100.90,100.90,99.03,99.22,12400
ABL,09-Jul-2015,99.20,99.99,99.20,99.99,5800
ABL,10-Jul-2015,100.00,100.00,98.90,99.05,50300
ABL,13-Jul-2015,99.95,100.00,99.50,99.95,114200
ABL,14-Jul-2015,99.16,99.98,98.50,99.00,53900
ABL,15-Jul-2015,98.55,99.80,98.52,99.24,20100
ABL,16-Jul-2015,99.50,101.25,99.12,101.01,69300
ABL,22-Jul-2015,101.90,106.06,100.00,106.00,1008900
ABL,23-Jul-2015,106.90,106.95,101.00,102.42,377300
ABL,24-Jul-2015,102.49,104.99,101.50,104.52,360100
ABL,27-Jul-2015,103.99,105.00,103.00,103.86,188800
ABL,28-Jul-2015,103.86,103.99,103.00,103.08,107000
ABL,29-Jul-2015,104.49,105.29,103.98,104.88,345900
ABL,30-Jul-2015,104.02,104.90,103.50,103.58,747300
ABL,31-Jul-2015,103.50,104.00,103.11,103.30,60400
ABL,03-Aug-2015,104.05,104.05,103.25,103.45,193000
ABL,04-Aug-2015,103.90,104.00,102.75,103.60,54800
ABL,05-Aug-2015,103.50,105.00,102.50,104.94,1161100
ABL,06-Aug-2015,104.90,106.00,104.10,105.25,224800
ABL,07-Aug-2015,105.00,107.00,104.50,106.01,204400
ABL,10-Aug-2015,105.01,106.40,105.00,105.06,209800
ABL,11-Aug-2015,105.50,106.29,105.03,105.98,201800
ABL,12-Aug-2015,105.98,106.01,105.00,105.68,326600
ABL,13-Aug-2015,105.05,105.62,105.03,105.51,26700
ABL,17-Aug-2015,103.00,105.10,103.00,104.19,456900
ABL,18-Aug-2015,103.50,103.98,102.07,102.91,10000
ABL,19-Aug-2015,103.51,103.51,102.00,102.36,25700
ABL,20-Aug-2015,102.01,102.03,101.00,101.04,26500
ABL,21-Aug-2015,100.30,101.00,98.80,99.75,114700
ABL,24-Aug-2015,96.00,96.25,94.78,94.93,83900
ABL,25-Aug-2015,94.50,99.65,94.50,99.65,219100
ABL,26-Aug-2015,99.00,100.50,99.00,100.00,90900
ABL,27-Aug-2015,100.00,104.50,99.99,102.49,164300
ABL,28-Aug-2015,103.10,105.50,102.51,104.65,334700
ABL,31-Aug-2015,104.49,105.00,104.00,104.15,312700
ABL,01-Sep-2015,103.10,103.20,98.95,99.43,71000
ABL,02-Sep-2015,99.51,100.70,99.40,100.00,164400
ABL,03-Sep-2015,101.48,102.98,99.99,100.07,60200
ABL,04-Sep-2015,100.00,100.47,100.00,100.20,40200
