,Buy Date,Buy Price,Sell Date,Sell Price,Difference
0,02-Apr-15,101.97,06-May-15,113.49,11.52
1,16-Jul-15,101.01,18-Aug-15,102.91,1.9
2,31-Aug-15,104.15,01-Sep-15,99.43,-4.72
3,06-Oct-15,99.07,05-Nov-15,98.97,-0.1
4,10-Dec-15,99,21-Dec-15,94.86,-4.14
5,01-Jan-16,95.41,07-Jan-16,92.16,-3.25
6,01-Feb-16,92.75,12-Feb-16,88.31,-4.44
7,07-Mar-16,87.99,25-Apr-16,88,0.01
8,09-May-16,90.69,10-May-16,88.96,-1.73
9,16-Jun-16,89.17,25-Jul-16,86.87,-2.3
10,27-Jul-16,89,26-Aug-16,96.29,7.29
11,07-Oct-16,99.01,25-Oct-16,100.02,1.01
12,02-Nov-16,105.53,16-Nov-16,104.6,-0.93
13,09-Dec-16,106.01,13-Jan-17,120.28,14.27
14,24-Apr-17,95,31-May-17,96.88,1.88
15,10-Jul-17,91.19,09-Aug-17,87.5,-3.69
16,18-Sep-17,87.7,04-Oct-17,83.6,-4.1
17,20-Oct-17,87.41,24-Oct-17,85.6,-1.81
18,21-Dec-17,82.03,31-Jan-18,95,12.97
19,20-Mar-18,96.06,17-Apr-18,97.2,1.14
20,25-Apr-18,101.22,04-May-18,100,-1.22
21,28-May-18,98,20-Jun-18,100,2
22,28-Jun-18,102,04-Jul-18,98.51,-3.49
23,13-Jul-18,104.93,07-Aug-18,106.5,1.57
24,01-Oct-18,103,04-Oct-18,99.02,-3.98
25,26-Oct-18,101.96,22-Nov-18,103.1,1.14
26,19-Dec-18,101.01,17-Jan-19,107.34,6.33
27,01-Feb-19,112.42,11-Feb-19,110,-2.42
28,05-Mar-19,112.5,06-Mar-19,110.55,-1.95
29,12-Apr-19,108.51,17-Apr-19,104.43,-4.08
30,30-Apr-19,107.91,08-May-19,102.6,-5.31
31,14-May-19,108.07,11-Jun-19,103.49,-4.58
32,25-Sep-19,86.8,22-Oct-19,87,0.2
33,24-Oct-19,88,08-Nov-19,86.75,-1.25
34,15-Nov-19,90.37,19-Dec-19,100.03,9.66
35,04-Mar-20,95,06-Mar-20,88.6,-6.4
36,02-Apr-20,82.18,07-May-20,77.47,-4.71
37,10-Jun-20,75.34,26-Aug-20,85.79,10.45
38,01-Oct-20,88.56,05-Oct-20,83.83,-4.73
39,14-Oct-20,88.41,28-Oct-20,84.5,-3.91
40,10-Nov-20,86.19,20-Nov-20,84.01,-2.18
