Symbol,Date,Open,High,Low,Close,Volume
ABOT,01-Jan-2015,700.00,703.50,695.00,700.84,3550
ABOT,02-Jan-2015,706.00,729.50,700.50,724.05,18950
ABOT,05-Jan-2015,715.90,727.50,715.00,716.91,1350
ABOT,06-Jan-2015,707.90,707.90,697.00,700.19,8850
ABOT,07-Jan-2015,699.95,714.90,697.00,701.53,9000
ABOT,08-Jan-2015,699.00,702.50,698.00,700.00,2000
ABOT,09-Jan-2015,705.00,705.00,690.00,692.69,4200
ABOT,12-Jan-2015,698.00,719.85,698.00,710.71,19100
ABOT,13-Jan-2015,709.00,716.00,700.00,703.40,6450
ABOT,14-Jan-2015,715.00,717.50,708.00,712.94,5650
ABOT,15-Jan-2015,710.01,715.00,698.00,703.25,9600
ABOT,16-Jan-2015,705.10,710.00,695.00,700.63,18600
ABOT,19-Jan-2015,695.01,704.00,692.00,694.93,8300
ABOT,20-Jan-2015,699.00,699.99,684.00,687.73,3500
ABOT,21-Jan-2015,695.00,698.00,684.00,686.97,8600
ABOT,22-Jan-2015,690.00,690.00,670.00,671.50,6950
ABOT,23-Jan-2015,679.00,685.00,656.00,663.10,4250
ABOT,26-Jan-2015,645.25,680.00,645.25,668.84,9700
ABOT,27-Jan-2015,670.00,702.28,670.00,696.06,33650
ABOT,28-Jan-2015,695.00,700.00,675.00,681.50,4750
ABOT,29-Jan-2015,682.00,709.00,682.00,699.94,10700
ABOT,30-Jan-2015,704.99,721.00,701.00,719.35,16250
ABOT,02-Feb-2015,719.99,720.00,711.00,713.38,2450
ABOT,03-Feb-2015,714.00,721.00,700.00,709.79,7550
ABOT,04-Feb-2015,705.20,705.20,690.00,694.95,4150
ABOT,06-Feb-2015,682.01,695.90,682.00,683.19,4250
ABOT,09-Feb-2015,689.99,700.00,680.00,687.20,10150
ABOT,10-Feb-2015,692.00,692.00,675.00,691.90,2400
ABOT,11-Feb-2015,680.02,683.90,680.00,680.00,2850
ABOT,12-Feb-2015,683.80,685.00,668.12,672.71,13850
ABOT,13-Feb-2015,671.00,671.00,665.00,666.81,5000
ABOT,16-Feb-2015,672.00,674.20,663.00,670.95,32050
ABOT,17-Feb-2015,678.90,690.00,670.00,670.79,38000
ABOT,18-Feb-2015,680.00,680.00,665.00,672.73,1600
ABOT,19-Feb-2015,656.00,678.00,656.00,663.67,3400
ABOT,20-Feb-2015,669.99,669.99,662.00,663.00,1200
ABOT,23-Feb-2015,671.00,671.00,656.00,656.00,1350
ABOT,24-Feb-2015,661.99,662.50,635.00,645.00,3250
ABOT,25-Feb-2015,653.00,653.00,645.00,645.00,1650
ABOT,26-Feb-2015,640.00,644.00,630.00,644.00,850
ABOT,27-Feb-2015,635.00,640.00,635.00,640.00,450
ABOT,02-Mar-2015,616.00,627.99,616.00,627.99,100
ABOT,03-Mar-2015,626.00,628.00,612.00,614.25,2950
ABOT,04-Mar-2015,618.70,624.50,584.00,587.36,7100
ABOT,05-Mar-2015,589.90,590.00,558.00,558.00,14450
ABOT,06-Mar-2015,541.01,555.98,535.00,537.42,5000
ABOT,09-Mar-2015,537.00,537.00,511.00,514.75,7700
ABOT,10-Mar-2015,512.00,513.00,500.00,502.29,5850
ABOT,11-Mar-2015,495.00,502.40,490.00,499.97,12350
ABOT,12-Mar-2015,510.00,515.00,507.00,510.00,4050
ABOT,13-Mar-2015,515.00,520.20,508.00,509.88,66300
ABOT,16-Mar-2015,515.00,523.99,501.00,514.11,65050
ABOT,17-Mar-2015,510.10,520.00,509.00,518.78,16800
ABOT,18-Mar-2015,513.00,514.51,500.00,511.28,23500
ABOT,19-Mar-2015,505.00,517.98,505.00,511.30,1650
ABOT,20-Mar-2015,515.00,520.00,511.01,517.88,4350
ABOT,24-Mar-2015,513.00,513.15,495.25,499.58,7850
ABOT,25-Mar-2015,505.00,515.00,505.00,513.32,8600
ABOT,26-Mar-2015,506.00,506.00,495.25,499.74,11100
ABOT,27-Mar-2015,500.00,502.00,496.05,498.09,1650
ABOT,30-Mar-2015,475.11,477.70,473.19,473.66,44250
ABOT,31-Mar-2015,481.00,497.34,481.00,497.34,44700
ABOT,01-Apr-2015,512.00,522.20,510.00,522.20,68100
ABOT,02-Apr-2015,535.00,542.00,530.20,539.44,4600
ABOT,03-Apr-2015,539.00,555.50,530.00,547.29,27750
ABOT,06-Apr-2015,545.00,554.69,540.00,550.28,40800
ABOT,07-Apr-2015,554.99,554.99,540.00,545.15,11400
ABOT,08-Apr-2015,545.00,554.00,545.00,547.33,3250
