,Buy Date,Buy Price,Sell Date,Sell Price,Difference
0,03-Apr-15,547.29,27-May-15,616.91,69.62
1,26-Jun-15,640.79,22-Jul-15,697.86,57.07
2,03-Sep-15,698.32,08-Sep-15,689.08,-9.24
3,16-Oct-15,673,09-Nov-15,680.52,7.52
4,06-Jan-16,650.68,13-Jan-16,631,-19.68
5,01-Feb-16,632.46,25-Feb-16,656.93,24.47
6,21-Mar-16,659.5,22-Mar-16,641,-18.5
7,29-Mar-16,653.63,13-Apr-16,642,-11.63
8,27-Apr-16,665,19-May-16,680.18,15.18
9,20-Jun-16,683.99,28-Jul-16,800,116.01
10,19-Sep-16,845.41,04-Oct-16,831.71,-13.7
11,02-Nov-16,825.09,30-Nov-16,889,63.91
12,09-Dec-16,934.97,23-Dec-16,928.64,-6.33
13,17-Jan-17,956.57,01-Feb-17,1017.77,61.2
14,10-Apr-17,969.45,02-May-17,923.82,-45.63
15,25-May-17,929,02-Jun-17,890,-39
16,07-Jun-17,925,20-Jun-17,906.73,-18.27
17,30-Jun-17,934.6,03-Jul-17,898.88,-35.72
18,27-Jul-17,904.42,01-Aug-17,860.25,-44.17
19,15-Sep-17,814.95,06-Oct-17,763.58,-51.37
20,19-Oct-17,779.09,27-Oct-17,748.25,-30.84
21,22-Dec-17,694.36,05-Jan-18,645.67,-48.69
22,19-Jan-18,654.24,12-Feb-18,703.99,49.75
23,14-Mar-18,666,11-Apr-18,709.76,43.76
24,18-Apr-18,743.48,30-Apr-18,722,-21.48
25,28-May-18,685,26-Jun-18,681.01,-3.99
26,27-Jul-18,690,15-Aug-18,668,-22
27,28-Sep-18,617.05,05-Oct-18,540.5,-76.55
28,29-Oct-18,560.01,03-Dec-18,555.11,-4.9
29,24-Dec-18,555.99,11-Feb-19,677.98,121.99
30,28-Jun-19,474.64,09-Jul-19,434,-40.64
31,26-Sep-19,350.02,18-Oct-19,325.68,-24.34
32,08-Nov-19,330.56,23-Dec-19,452.12,121.56
33,02-Mar-20,395.42,17-Mar-20,361.5,-33.92
34,09-Apr-20,358.39,07-May-20,436.77,78.38
35,29-May-20,498.96,22-Jun-20,585.85,86.89
36,29-Jun-20,655.97,08-Jul-20,636.17,-19.8
37,11-Aug-20,644.17,09-Sep-20,740.04,95.87
38,11-Nov-20,728.79,21-Dec-20,760.92,32.13
