Symbol,Date,Open,High,Low,Close,Volume
AGTL,01-Jan-2015,369.00,369.00,362.00,364.98,32600
AGTL,02-Jan-2015,368.95,370.00,361.00,363.21,26000
AGTL,05-Jan-2015,365.00,365.00,361.00,361.38,28500
AGTL,06-Jan-2015,366.45,379.44,365.50,379.44,63900
AGTL,07-Jan-2015,389.00,398.41,389.00,398.41,39200
AGTL,08-Jan-2015,414.00,414.90,385.15,393.04,77700
AGTL,09-Jan-2015,393.10,393.90,380.00,384.47,34100
AGTL,12-Jan-2015,384.50,387.00,376.01,379.29,25800
AGTL,13-Jan-2015,370.05,374.99,365.00,369.79,97400
AGTL,14-Jan-2015,370.00,379.99,370.00,375.99,25300
AGTL,15-Jan-2015,367.00,378.00,367.00,374.93,15600
AGTL,16-Jan-2015,377.00,378.00,368.00,370.10,19400
AGTL,19-Jan-2015,378.90,378.90,372.00,375.80,13900
AGTL,20-Jan-2015,382.00,382.00,373.00,376.46,8700
AGTL,21-Jan-2015,377.90,393.70,375.00,385.57,44500
AGTL,22-Jan-2015,386.00,389.50,378.00,383.37,20300
AGTL,23-Jan-2015,380.00,382.00,377.00,377.78,10100
AGTL,26-Jan-2015,384.00,386.20,380.00,381.26,10200
AGTL,27-Jan-2015,382.00,384.35,380.00,383.06,11500
AGTL,28-Jan-2015,383.00,383.00,377.25,378.00,12100
AGTL,29-Jan-2015,380.00,382.00,378.20,379.40,7000
AGTL,30-Jan-2015,371.00,383.00,360.43,379.82,13700
AGTL,02-Feb-2015,382.00,388.00,382.00,382.47,16100
AGTL,03-Feb-2015,385.50,390.00,380.00,386.56,31400
AGTL,04-Feb-2015,386.00,405.88,386.00,405.88,98400
AGTL,06-Feb-2015,414.98,414.98,399.99,402.43,65000
AGTL,09-Feb-2015,409.50,409.50,395.10,399.81,28900
AGTL,10-Feb-2015,398.00,400.00,390.22,399.42,16400
AGTL,11-Feb-2015,400.00,402.00,395.25,397.91,18200
AGTL,12-Feb-2015,396.00,398.00,385.00,389.99,12100
AGTL,13-Feb-2015,389.00,389.00,370.50,370.54,140900
AGTL,16-Feb-2015,372.99,377.00,365.00,372.83,35500
AGTL,17-Feb-2015,374.00,377.47,372.83,373.34,46900
AGTL,18-Feb-2015,370.00,374.00,370.00,371.09,7700
AGTL,19-Feb-2015,371.00,374.00,370.50,373.62,13600
AGTL,20-Feb-2015,373.49,373.75,369.52,370.33,6100
AGTL,23-Feb-2015,372.00,372.00,368.00,368.75,8300
AGTL,24-Feb-2015,369.00,369.40,364.00,364.28,7500
