,Buy Date,Buy Price,Sell Date,Sell Price,Difference
0,03-Apr-15,347.48,30-Apr-15,367.58,20.1
1,06-May-15,395.18,19-May-15,390.25,-4.93
2,02-Jun-15,418.72,26-Jun-15,486.21,67.49
3,03-Aug-15,535.9,18-Aug-15,535,-0.9
4,06-Oct-15,453.73,16-Nov-15,498,44.27
5,08-Feb-16,404.71,24-Feb-16,386.89,-17.82
6,03-Mar-16,400,13-Apr-16,406.73,6.73
7,27-Apr-16,446.47,23-May-16,443.48,-2.99
8,20-Jun-16,448.2,28-Jun-16,421.6,-26.6
9,12-Jul-16,437.17,12-Aug-16,426.12,-11.05
10,31-Aug-16,432.01,07-Sep-16,420.55,-11.46
11,16-Sep-16,440.26,27-Oct-16,480.75,40.49
12,03-Nov-16,498.76,24-Nov-16,624.28,125.52
13,30-Nov-16,702.29,02-Dec-16,634.75,-67.54
14,11-Jan-17,588.47,31-Jan-17,559.26,-29.21
15,02-Feb-17,608.66,13-Feb-17,590.87,-17.79
16,03-Mar-17,586.03,15-Mar-17,537.44,-48.59
17,22-Mar-17,567.27,18-Apr-17,555.16,-12.11
18,21-Apr-17,593.76,11-May-17,661.22,67.46
19,29-May-17,691.09,02-Jun-17,663.62,-27.47
20,06-Jun-17,711.16,14-Jun-17,687.62,-23.54
21,25-Jul-17,639.66,16-Aug-17,659.15,19.49
22,25-Sep-17,611.5,10-Oct-17,556,-55.5
23,16-Oct-17,586.17,28-Nov-17,644.45,58.28
24,28-Dec-17,623.04,15-Feb-18,673.74,50.7
25,21-Mar-18,695.34,30-Mar-18,693.28,-2.06
26,02-Apr-18,707.29,18-Apr-18,727,19.71
27,07-Jun-18,704.59,22-Jun-18,682.04,-22.55
28,27-Jul-18,680.05,17-Aug-18,663.53,-16.52
29,29-Oct-18,537,05-Dec-18,575,38
30,06-Feb-19,530.49,13-Feb-19,486.77,-43.72
31,03-Oct-19,251.78,31-Oct-19,267.2,15.42
32,07-Nov-19,280,03-Dec-19,385,105
33,06-Apr-20,268.54,04-Jun-20,337.62,69.08
34,17-Jul-20,370.5,05-Aug-20,387.08,16.58
35,11-Aug-20,418.8,21-Aug-20,402.31,-16.49
36,26-Oct-20,366.5,15-Dec-20,371.41,4.91
